topic,date,answer,pct
2025 Approval - Trump,2025-03-27,Disapprove,48.8
2025 Approval - Trump,2025-03-28,Approve,47.4
2025 Approval - Trump,2025-03-28,Disapprove,48.7
2025 Approval - Trump,2025-03-29,Approve,47.4
2025 Approval - Trump,2025-03-29,Disapprove,48.7
2025 Approval - Trump,2025-03-30,Approve,48
2025 Approval - Trump,2025-03-30,Disapprove,49.4
2025 Approval - Trump,2025-03-31,Approve,47.5
2025 Approval - Trump,2025-03-31,Disapprove,49.5
2025 Approval - Trump,2025-04-01,Approve,47.5
2025 Approval - Trump,2025-04-01,Disapprove,49.5
2025 Approval - Trump,2025-04-02,Approve,46.7
2025 Approval - Trump,2025-04-02,Disapprove,49.7
2025 Approval - Trump,2025-04-03,Approve,46.4
2025 Approval - Trump,2025-04-03,Disapprove,49.9
2025 Approval - Trump,2025-04-04,Approve,46.3
2025 Approval - Trump,2025-04-04,Disapprove,50
2025 Approval - Trump,2025-04-05,Approve,46.3
2025 Approval - Trump,2025-04-05,Disapprove,50
2025 Approval - Trump,2025-04-06,Approve,46.5
2025 Approval - Trump,2025-04-06,Disapprove,49.7
2025 Approval - Trump,2025-04-07,Approve,46.3
2025 Approval - Trump,2025-04-07,Disapprove,50.1
2025 Approval - Trump,2025-04-08,Approve,46.2
2025 Approval - Trump,2025-04-08,Disapprove,50.3
2025 Approval - Trump,2025-04-09,Approve,45.4
2025 Approval - Trump,2025-04-09,Disapprove,50.7
2025 Approval - Trump,2025-04-10,Approve,45
2025 Approval - Trump,2025-04-10,Disapprove,51.3
2025 Approval - Trump,2025-04-11,Approve,45
2025 Approval - Trump,2025-04-11,Disapprove,51.3
2025 Approval - Trump,2025-04-12,Approve,44.9
2025 Approval - Trump,2025-04-12,Disapprove,51.3
2025 Approval - Trump,2025-04-13,Approve,46.1
2025 Approval - Trump,2025-04-13,Disapprove,51.3
2025 Approval - Trump,2025-04-14,Approve,46.1
2025 Approval - Trump,2025-04-14,Disapprove,51
2025 Approval - Trump,2025-04-15,Approve,46.1
2025 Approval - Trump,2025-04-15,Disapprove,51
2025 Approval - Trump,2025-04-16,Approve,45.2
2025 Approval - Trump,2025-04-16,Disapprove,50.9
2025 Approval - Trump,2025-04-17,Approve,45.2
2025 Approval - Trump,2025-04-17,Disapprove,50.9
2025 Approval - Trump,2025-04-18,Approve,45.2
2025 Approval - Trump,2025-04-18,Disapprove,51.1
2025 Approval - Trump,2025-04-19,Approve,45.1
2025 Approval - Trump,2025-04-19,Disapprove,51.1
2025 Approval - Trump,2025-04-20,Approve,45.1
2025 Approval - Trump,2025-04-20,Disapprove,51.2
2025 Approval - Trump,2025-04-21,Approve,44.9
2025 Approval - Trump,2025-04-21,Disapprove,51
2025 Approval - Trump,2025-04-22,Approve,45.1
2025 Approval - Trump,2025-04-22,Disapprove,50.9
2025 Approval - Trump,2025-04-23,Approve,44.4
2025 Approval - Trump,2025-04-23,Disapprove,51.9
2025 Approval - Trump,2025-04-24,Approve,44.3
2025 Approval - Trump,2025-04-24,Disapprove,52
2025 Approval - Trump,2025-04-25,Approve,44.2
2025 Approval - Trump,2025-04-25,Disapprove,52
2025 Approval - Trump,2025-04-26,Approve,44
2025 Approval - Trump,2025-04-26,Disapprove,52.3
2025 Approval - Trump,2025-04-27,Approve,44.3
2025 Approval - Trump,2025-04-27,Disapprove,53.1
2025 Approval - Trump,2025-04-28,Approve,44.3
2025 Approval - Trump,2025-04-28,Disapprove,53.2
2025 Approval - Trump,2025-04-29,Approve,43.9
2025 Approval - Trump,2025-04-29,Disapprove,52.6
2025 Approval - Trump,2025-04-30,Approve,43.9
2025 Approval - Trump,2025-04-30,Disapprove,52.1
2025 Approval - Trump,2025-05-01,Approve,43.9
2025 Approval - Trump,2025-05-01,Disapprove,52.1
2025 Approval - Trump,2025-05-02,Approve,44.1
2025 Approval - Trump,2025-05-02,Disapprove,51.8
2025 Approval - Trump,2025-05-03,Approve,44.1
2025 Approval - Trump,2025-05-03,Disapprove,51.8
2025 Approval - Trump,2025-05-04,Approve,44.1
2025 Approval - Trump,2025-05-04,Disapprove,51.8
2025 Approval - Trump,2025-05-05,Approve,43.9
2025 Approval - Trump,2025-05-05,Disapprove,51.7
2025 Approval - Trump,2025-05-06,Approve,44.1
2025 Approval - Trump,2025-05-06,Disapprove,51.4
